id,nome_vendedor,email,telefone
65,Emanuelly Souza,emanuelly.s@exemplo.com,(11) 90000-0040
66,Esther Santos,esther.s@exemplo.com,(11) 90000-0041
67,Felipe Vieira,felipe.v@exemplo.com,(11) 90000-0042
68,Giovanna Costa,giovanna.c@exemplo.com,(11) 90000-0043
69,Heitor Silva,heitor.silva@exemplo.com,(11) 90000-0044
70,Isabelly Nunes,isabelly.n@exemplo.com,(11) 90000-0045
71,Joaquim Oliveira,joaquim.o@exemplo.com,(11) 90000-0046
72,Laura Almeida,laura.almeida@exemplo.com,(11) 90000-0047
73,Lucas Pereira,lucas.p@exemplo.com,(11) 90000-0048
74,Manuela Rodrigues,manuela.r@exemplo.com,(11) 90000-0049
75,Miguel Fernandes,miguel.f@exemplo.com,(11) 90000-0050
76,Nicole Gomes,nicole.g@exemplo.com,(11) 90000-0051
77,Pedro Dias,pedro.dias@exemplo.com,(11) 90000-0052
78,Rafaela Martins,rafaela.m@exemplo.com,(11) 90000-0053
79,Samuel Castro,samuel.c@exemplo.com,(11) 90000-0054
80,Sophia Oliveira,sophia.o@exemplo.com,(11) 90000-0055
81,Theo Pereira,theo.p@exemplo.com,(11) 90000-0056
82,Valentina Almeida,valentina.a@exemplo.com,(11) 90000-0057
83,Victor Rodrigues,victor.r@exemplo.com,(11) 90000-0058
84,Yasmin Fernandes,yasmin.f@exemplo.com,(11) 90000-0059
85,Zara Gomes,zara.g@exemplo.com,(11) 90000-0060
86,Artur Silva,artur.s@exemplo.com,(11) 90000-0061
87,Cecília Lima,cecilia.l@exemplo.com,(11) 90000-0062
88,Davi Costa,davi.c@exemplo.com,(11) 90000-0063
89,Helena Souza,helena.s@exemplo.com,(11) 90000-0064
90,João Gabriel Santos,joao.g@exemplo.com,(11) 90000-0065
91,Laura Oliveira,laura.o@exemplo.com,(11) 90000-0066
92,Lucas Almeida,lucas.a@exemplo.com,(11) 90000-0067
93,Maria Clara Pereira,maria.c@exemplo.com,(11) 90000-0068
94,Pedro Henrique Rodrigues,pedro.h.r@exemplo.com,(11) 90000-0069
95,Sofia Fernandes,sofia.f@exemplo.com,(11) 90000-0070
96,Theo Gomes,theo.g@exemplo.com,(11) 90000-0071
97,Valentina Dias,valentina.d@exemplo.com,(11) 90000-0072
98,Victor Martins,victor.m@exemplo.com,(11) 90000-0073
99,Yasmin Castro,yasmin.c@exemplo.com,(11) 90000-0074
100,Alexandre Ferreira,alexandre.f@exemplo.com,(11) 90000-0075
101,Bruna Lima,bruna.l@exemplo.com,(11) 90000-0076
102,Caio Mendes,caio.m@exemplo.com,(11) 90000-0077
103,Denise Ramos,denise.r@exemplo.com,(11) 90000-0078
104,Elias Barbosa,elias.b@exemplo.com,(11) 90000-0079
105,Fernanda Silveira,fernanda.s@exemplo.com,(11) 90000-0080
106,Guilherme Alves,guilherme.alves@exemplo.com,(11) 90000-0081
107,Heloísa Britto,heloisa.b@exemplo.com,(11) 90000-0082
108,Igor Carvalho,igor.c@exemplo.com,(11) 90000-0083
109,Janaína Dantas,janaina.d@exemplo.com,(11) 90000-0084
110,Kleber Esteves,kleber.e@exemplo.com,(11) 90000-0085
111,Lorena França,lorena.f@exemplo.com,(11) 90000-0086
112,Márcio Guedes,marcio.g@exemplo.com,(11) 90000-0087
113,Nina Horta,nina.h@exemplo.com,(11) 90000-0088
114,Otávio Ivo,otavio.i@exemplo.com,(11) 90000-0089
115,Paula Jardim,paula.j@exemplo.com,(11) 90000-0090
