regiao,nome_vendedor,nome_produto,total_vendas_brl,quantidade_vendida
Centro-Oeste,Bruna Lima,Saco de Dormir Ultraleve,1381885.09,150
Centro-Oeste,Fernanda Silveira,Vaso Sanitário com Caixa Acoplada,1366116.55,139
Centro-Oeste,Bruna Lima,Máquina de Costura Doméstica,1357615.6400000001,276
Centro-Oeste,Caio Mendes,Fone de Ouvido Bluetooth,1355667.35,378
Centro-Oeste,Elias Barbosa,Vaso Sanitário com Caixa Acoplada,1352564.0,115
Centro-Oeste,Heloísa Britto,Mesa de Jantar 4 Cadeiras,1351955.1099999999,498
Centro-Oeste,Heloísa Britto,Roteador Wi-Fi 6,1342308.94,333
Centro-Oeste,Caio Mendes,Chuveiro Elétrico Digital,1318847.36,202
Centro-Oeste,Fernanda Silveira,Fechadura Digital Biométrica,1315050.08,297
Centro-Oeste,Janaína Dantas,Chuveiro Elétrico Digital,1308957.79,212
Centro-Oeste,Kleber Esteves,Fechadura Digital Biométrica,1293846.68,312
Centro-Oeste,Heloísa Britto,Abajur de Chão Decorativo,1292995.32,141
Centro-Oeste,Fernanda Silveira,Lanterna Tática LED,1291065.54,687
Centro-Oeste,Heloísa Britto,Ferro de Passar a Vapor,1278632.47,157
Centro-Oeste,Heloísa Britto,Tapete Geométrico,1267950.65,193
Centro-Oeste,Janaína Dantas,Bateria Portátil Power Bank,1264711.3499999999,449
Centro-Oeste,Denise Ramos,Mesa de Jantar 4 Cadeiras,1259386.58,401
Centro-Oeste,Heloísa Britto,GPS Automotivo,1254855.41,283
Centro-Oeste,Bruna Lima,Serra Elétrica Circular,1253197.8900000001,238
Centro-Oeste,Caio Mendes,Bússola Profissional,1253000.6,1207
Centro-Oeste,Kleber Esteves,Trena a Laser,1246784.37,249
Centro-Oeste,Guilherme Alves,Notebook Gamer G300,1234193.11,322
Centro-Oeste,Bruna Lima,Sanduicheira Elétrica,1222183.43,200
Centro-Oeste,Fernanda Silveira,Headset Gamer Surround,1215645.52,277
Centro-Oeste,Janaína Dantas,Projetor Portátil,1211921.88,235
Centro-Oeste,Bruna Lima,Chuveiro Elétrico Digital,1210133.8800000001,181
Centro-Oeste,Janaína Dantas,Trena a Laser,1202139.8800000001,259
Centro-Oeste,Caio Mendes,Calça Jeans Motoqueiro,1201903.52,167
Centro-Oeste,Guilherme Alves,Mouse Gamer Óptico,1198659.26,179
Centro-Oeste,Bruna Lima,Ventilador de Torre,1198635.97,94
Centro-Oeste,Caio Mendes,Cafeteira Expresso,1198204.19,227
Centro-Oeste,Guilherme Alves,Barbeador Elétrico,1189440.98,181
Centro-Oeste,Kleber Esteves,Ferro de Passar a Vapor,1187138.48,207
Centro-Oeste,Igor Carvalho,Bicicleta Ergométrica,1183964.3,125
Centro-Oeste,Heloísa Britto,Echo Dot 4ª Geração,1179673.18,373
Centro-Oeste,Fernanda Silveira,Bicicleta Ergométrica,1175913.1199999999,119
Centro-Oeste,Guilherme Alves,Lanterna Tática LED,1175249.09,584
Centro-Oeste,Janaína Dantas,Pistola de Pintura Elétrica,1172636.79,124
Centro-Oeste,Guilherme Alves,Sofá 3 Lugares Reclinável,1172156.83,1436
Centro-Oeste,Igor Carvalho,Echo Dot 4ª Geração,1169109.26,347
Centro-Oeste,Guilherme Alves,Abajur de Chão Decorativo,1168154.13,157
Centro-Oeste,Caio Mendes,Abajur de Chão Decorativo,1160400.46,135
Centro-Oeste,Elias Barbosa,Roteador Wi-Fi 6,1157845.83,329
Centro-Oeste,Kleber Esteves,Bússola Profissional,1156997.02,1412
Centro-Oeste,Bruna Lima,Pistola de Pintura Elétrica,1156202.52,144
Centro-Oeste,Kleber Esteves,Banco de Jardim de Madeira,1154747.6099999999,217
Centro-Oeste,Caio Mendes,Ventilador de Torre,1151942.3,94
Centro-Oeste,Denise Ramos,Mouse Gamer Óptico,1146921.53,182
Centro-Oeste,Janaína Dantas,Tapete Geométrico,1144794.58,169
Centro-Oeste,Caio Mendes,Sanduicheira Elétrica,1133377.07,224
Centro-Oeste,Igor Carvalho,Lanterna Tática LED,1130200.28,436
Centro-Oeste,Guilherme Alves,Serra Elétrica Circular,1129372.97,201
Centro-Oeste,Denise Ramos,Cama Box Queen Size,1125749.33,210
Centro-Oeste,Kleber Esteves,Cantil Térmico,1116904.24,318
Centro-Oeste,Igor Carvalho,Batedeira Planetária,1116598.2,117
Centro-Oeste,Denise Ramos,Calça Jeans Motoqueiro,1113318.1700000002,157
Centro-Oeste,Kleber Esteves,Aspirador de Água e Pó,1111405.96,216
Centro-Oeste,Igor Carvalho,Fechadura Digital Biométrica,1109821.42,305
Centro-Oeste,Caio Mendes,Mesa de Jantar 4 Cadeiras,1109291.58,385
Centro-Oeste,Janaína Dantas,Lanterna Tática LED,1108696.48,480
Centro-Oeste,Caio Mendes,Aspirador de Água e Pó,1107516.6199999999,213
Centro-Oeste,Bruna Lima,Chaleira Elétrica,1105237.16,174
Centro-Oeste,Fernanda Silveira,Chuveiro Elétrico Digital,1103247.13,183
Centro-Oeste,Kleber Esteves,Webcam Full HD,1103097.22,170
Centro-Oeste,Igor Carvalho,Ventilador de Torre,1100414.76,98
Centro-Oeste,Janaína Dantas,Cama Box Queen Size,1099291.25,210
Centro-Oeste,Caio Mendes,Fechadura Digital Biométrica,1096556.16,262
Centro-Oeste,Janaína Dantas,Sofá 3 Lugares Reclinável,1093054.29,1229
Centro-Oeste,Caio Mendes,Trena a Laser,1089512.48,197
Centro-Oeste,Heloísa Britto,Grill Elétrico Multiúso,1088317.09,2895
Centro-Oeste,Janaína Dantas,Capa de Carro Protetora,1088003.66,859
Centro-Oeste,Denise Ramos,Roçadeira a Gasolina,1086365.89,583
Centro-Oeste,Elias Barbosa,Bicicleta Ergométrica,1079759.18,110
Centro-Oeste,Janaína Dantas,Roteador Wi-Fi 6,1077673.76,252
Centro-Oeste,Guilherme Alves,Sanduicheira Elétrica,1077587.9,178
Centro-Oeste,Denise Ramos,Saco de Dormir Ultraleve,1073255.23,132
Centro-Oeste,Igor Carvalho,Mesa de Jantar 4 Cadeiras,1071687.24,405
Centro-Oeste,Igor Carvalho,Pipoca Elétrica,1068817.89,1131
Centro-Oeste,Bruna Lima,Vaso Sanitário com Caixa Acoplada,1067039.21,111
Centro-Oeste,Igor Carvalho,Jaqueta Motoqueiro Couro,1066854.31,436
Centro-Oeste,Guilherme Alves,Chuveiro Elétrico Digital,1066478.59,186
Centro-Oeste,Heloísa Britto,Batedeira Planetária,1064899.18,128
Centro-Oeste,Guilherme Alves,Mesa de Jantar 4 Cadeiras,1063124.43,417
Centro-Oeste,Kleber Esteves,Motor de Popa,1062437.23,138
Centro-Oeste,Janaína Dantas,Saco de Dormir Ultraleve,1050855.38,146
Centro-Oeste,Guilherme Alves,Banco de Jardim de Madeira,1048656.27,200
Centro-Oeste,Heloísa Britto,Lanterna Tática LED,1047053.71,467
Centro-Oeste,Igor Carvalho,Luvas de Proteção Moto,1045662.97,247
Centro-Oeste,Kleber Esteves,Smartwatch Esportivo,1038249.7,315
Centro-Oeste,Elias Barbosa,Saco de Dormir Ultraleve,1033436.24,143
Centro-Oeste,Guilherme Alves,Purificador de Água,1033020.31,397
Centro-Oeste,Igor Carvalho,Ferro de Passar a Vapor,1031161.5,136
Centro-Oeste,Kleber Esteves,Saco de Dormir Ultraleve,1029974.5,112
Centro-Oeste,Heloísa Britto,Sofá 3 Lugares Reclinável,1029318.72,1184
Centro-Oeste,Denise Ramos,Webcam Full HD,1029160.91,147
Centro-Oeste,Fernanda Silveira,Câmera de Ré para Carro,1028997.24,342
Centro-Oeste,Kleber Esteves,Lanterna Tática LED,1026487.49,385
Centro-Oeste,Kleber Esteves,Calça Jeans Motoqueiro,1022939.74,127
Centro-Oeste,Janaína Dantas,Bicicleta Ergométrica,1022646.38,103
Centro-Oeste,Fernanda Silveira,Roteador Wi-Fi 6,1020391.35,312
Centro-Oeste,Janaína Dantas,Tábua de Passar Roupa,1016271.51,328
Centro-Oeste,Elias Barbosa,Pistola de Pintura Elétrica,1015623.1,129
Centro-Oeste,Kleber Esteves,Drone com Câmera 4K,1014548.5,365
Centro-Oeste,Fernanda Silveira,Saco de Dormir Ultraleve,1011476.6699999999,115
Centro-Oeste,Bruna Lima,GPS Automotivo,1007179.3200000001,274
Centro-Oeste,Bruna Lima,Cafeteira Expresso,1003799.65,208
Centro-Oeste,Janaína Dantas,Sanduicheira Grill,1003373.62,258
Centro-Oeste,Igor Carvalho,Máquina de Lavar 12kg,1001685.42,163
Centro-Oeste,Elias Barbosa,Tapete Geométrico,1001648.72,148
Centro-Oeste,Guilherme Alves,Pneu Aro 16,994708.64,259
Centro-Oeste,Bruna Lima,Sensor de Estacionamento,986141.72,189
Centro-Oeste,Fernanda Silveira,Microfone Condensador USB,984340.7799999999,1364
Centro-Oeste,Bruna Lima,Liquidificador Turbo,983720.4600000001,176
Centro-Oeste,Caio Mendes,Luvas de Proteção Moto,983460.04,290
Centro-Oeste,Kleber Esteves,Headset Gamer Surround,971431.7,268
Centro-Oeste,Denise Ramos,Cantil Térmico,970750.98,286
Centro-Oeste,Igor Carvalho,Tapete Geométrico,968610.51,146
Centro-Oeste,Guilherme Alves,Chaleira Elétrica,966884.57,151
Centro-Oeste,Guilherme Alves,Capacete de Moto Esportivo,965774.45,262
Centro-Oeste,Kleber Esteves,Roteador Wi-Fi 6,964606.27,220
Centro-Oeste,Janaína Dantas,Calça Jeans Motoqueiro,964509.41,121
Centro-Oeste,Caio Mendes,Balança Digital Bioimpedância,963818.55,288
Centro-Oeste,Kleber Esteves,Serra Tico-Tico,961625.95,474
Centro-Oeste,Janaína Dantas,Headset Gamer Surround,959481.17,231
Centro-Oeste,Guilherme Alves,Batedeira Planetária,953064.55,104
Centro-Oeste,Bruna Lima,Batedeira Planetária,952333.94,125
Centro-Oeste,Fernanda Silveira,Calça Jeans Motoqueiro,950837.75,121
Centro-Oeste,Caio Mendes,Polidor de Carro Elétrico,949149.75,221
Centro-Oeste,Caio Mendes,Câmera Digital Profissional,948979.3200000001,167
Centro-Oeste,Guilherme Alves,Pipoca Elétrica,947287.91,921
Centro-Oeste,Kleber Esteves,Liquidificador Turbo,946409.33,177
Centro-Oeste,Denise Ramos,Motor de Popa,945684.52,124
Centro-Oeste,Kleber Esteves,Umidificador de Ar,945316.6,232
Centro-Oeste,Fernanda Silveira,Balança Digital Bioimpedância,942746.64,283
Centro-Oeste,Caio Mendes,Bomba Submersa,938506.78,193
Centro-Oeste,Igor Carvalho,Webcam Full HD,938422.01,127
Centro-Oeste,Bruna Lima,Lava-Louças Compacta,936993.46,1135
Centro-Oeste,Janaína Dantas,Ferro de Passar a Vapor,936405.16,138
Centro-Oeste,Bruna Lima,Cama Box Queen Size,933527.3,187
Centro-Oeste,Kleber Esteves,Cadeira de Escritório Ergonômica,933506.9,843
Centro-Oeste,Caio Mendes,Liquidificador Turbo,933377.85,198
Centro-Oeste,Heloísa Britto,Máquina de Lavar 12kg,931120.38,156
Centro-Oeste,Janaína Dantas,Ventilador de Torre,928354.38,97
Centro-Oeste,Fernanda Silveira,Notebook Gamer G300,928239.59,257
Centro-Oeste,Heloísa Britto,Roçadeira a Gasolina,927959.68,468
Centro-Oeste,Heloísa Britto,Sanduicheira Grill,926216.25,256
Centro-Oeste,Caio Mendes,Assadeira de Vidro,925579.52,234
Centro-Oeste,Fernanda Silveira,Kit de Jardinagem,924920.23,1926
Centro-Oeste,Elias Barbosa,Máquina de Lavar 12kg,922877.31,207
Centro-Oeste,Caio Mendes,Cama Box Queen Size,922173.12,201
Centro-Oeste,Heloísa Britto,Banco de Jardim de Madeira,921936.4500000001,199
Centro-Oeste,Kleber Esteves,Roçadeira a Gasolina,921209.97,464
Centro-Oeste,Heloísa Britto,Máquina de Costura Doméstica,918942.39,201
Centro-Oeste,Bruna Lima,Calça Jeans Motoqueiro,914412.89,136
Centro-Oeste,Guilherme Alves,Esmerilhadeira Angular,914254.9099999999,406
Centro-Oeste,Janaína Dantas,Luvas de Proteção Moto,913610.18,218
Centro-Oeste,Bruna Lima,Máquina de Lavar 12kg,913321.3,167
Centro-Oeste,Heloísa Britto,Lixadeira Orbital,909978.95,914
Centro-Oeste,Elias Barbosa,Webcam Full HD,908209.63,122
Centro-Oeste,Guilherme Alves,Assadeira de Vidro,908094.84,167
Centro-Oeste,Janaína Dantas,Lavadora de Alta Pressão,907242.4,463
Centro-Oeste,Fernanda Silveira,Luvas de Proteção Moto,906835.02,223
Centro-Oeste,Igor Carvalho,Sofá 3 Lugares Reclinável,906101.51,962
Centro-Oeste,Kleber Esteves,Capa de Carro Protetora,904257.17,783
Centro-Oeste,Elias Barbosa,Cadeira de Escritório Ergonômica,902077.27,824
Centro-Oeste,Bruna Lima,Microfone Condensador USB,900638.6799999999,1359
Centro-Oeste,Bruna Lima,Bússola Profissional,899969.67,884
Centro-Oeste,Bruna Lima,Jaqueta Motoqueiro Couro,899101.4400000001,358
Centro-Oeste,Janaína Dantas,Teclado Mecânico RGB,898045.77,1045
Centro-Oeste,Heloísa Britto,Bateria Portátil Power Bank,896827.95,276
Centro-Oeste,Kleber Esteves,Barbeador Elétrico,895272.13,152
Centro-Oeste,Caio Mendes,GPS Automotivo,893871.86,201
Centro-Oeste,Guilherme Alves,Bateria Portátil Power Bank,892015.05,296
Centro-Oeste,Kleber Esteves,Bateria Portátil Power Bank,891774.15,279
Centro-Oeste,Denise Ramos,Geladeira Frost Free,890750.05,263
Centro-Oeste,Denise Ramos,Câmera de Ré para Carro,887523.6,293
Centro-Oeste,Bruna Lima,Filtro de Barro Tradicional,887017.6699999999,333
Centro-Oeste,Bruna Lima,Pneu Aro 16,886631.94,205
Centro-Oeste,Kleber Esteves,Mesa de Jantar 4 Cadeiras,885959.9400000001,353
Centro-Oeste,Kleber Esteves,Notebook Gamer G300,885021.4199999999,232
Centro-Oeste,Janaína Dantas,Pneu Aro 16,884215.52,205
Centro-Oeste,Elias Barbosa,Bússola Profissional,884199.11,875
Centro-Oeste,Elias Barbosa,Sanduicheira Grill,883108.47,264
Centro-Oeste,Fernanda Silveira,Caixa de Som Portátil,880747.48,483
Centro-Oeste,Fernanda Silveira,Liquidificador Turbo,879136.66,160
Centro-Oeste,Janaína Dantas,Drone com Câmera 4K,878440.96,353
Centro-Oeste,Bruna Lima,Bateria Portátil Power Bank,874799.99,264
Centro-Oeste,Bruna Lima,Alarme Automotivo,874691.84,146
Centro-Oeste,Janaína Dantas,Assadeira de Vidro,874665.15,164
Centro-Oeste,Fernanda Silveira,GPS Automotivo,874054.15,264
Centro-Oeste,Fernanda Silveira,Sanduicheira Elétrica,872256.01,189
Centro-Oeste,Janaína Dantas,Liquidificador Turbo,871800.86,179
Centro-Oeste,Guilherme Alves,Webcam Full HD,871720.6799999999,145
Centro-Oeste,Janaína Dantas,Sanduicheira Elétrica,871604.64,191
Centro-Oeste,Elias Barbosa,Caixa de Som Portátil,871149.58,527
Centro-Oeste,Igor Carvalho,Calça Jeans Motoqueiro,870891.32,112
Centro-Oeste,Heloísa Britto,Chuveiro Elétrico Digital,870237.67,149
Centro-Oeste,Elias Barbosa,Balança Digital Bioimpedância,869206.32,234
Centro-Oeste,Fernanda Silveira,Bomba Submersa,868936.8099999999,172
Centro-Oeste,Bruna Lima,Pipoca Elétrica,866704.46,1028
Centro-Oeste,Elias Barbosa,Lanterna Tática LED,865963.65,352
Centro-Oeste,Elias Barbosa,Drone com Câmera 4K,864108.41,290
Centro-Oeste,Denise Ramos,Serra Elétrica Circular,863353.46,153
Centro-Oeste,Caio Mendes,Máquina de Lavar 12kg,861819.5700000001,141
Centro-Oeste,Kleber Esteves,Cozinha Compacta,861762.13,331
Centro-Oeste,Igor Carvalho,Headset Gamer Surround,861365.3,223
Centro-Oeste,Fernanda Silveira,Mesa de Jantar 4 Cadeiras,860934.13,311
Centro-Oeste,Elias Barbosa,Lava-Louças Compacta,860470.19,1041
Centro-Oeste,Kleber Esteves,Guarda-Roupa Casal,859894.77,140
Centro-Oeste,Fernanda Silveira,Abajur de Chão Decorativo,858327.0,89
Centro-Oeste,Kleber Esteves,Batedeira Planetária,856802.71,92
Centro-Oeste,Denise Ramos,Fechadura Digital Biométrica,853485.62,222
Centro-Oeste,Denise Ramos,Fone de Ouvido Bluetooth,853182.28,233
Centro-Oeste,Janaína Dantas,Purificador de Água,852855.0,332
Centro-Oeste,Heloísa Britto,Cama Box Queen Size,852722.13,162
Centro-Oeste,Bruna Lima,Balança Digital Bioimpedância,850048.25,268
Centro-Oeste,Elias Barbosa,Air Fryer 4L,848445.06,601
Centro-Oeste,Elias Barbosa,Barbeador Elétrico,847890.77,126
Centro-Oeste,Heloísa Britto,Fechadura Digital Biométrica,846635.23,180
Centro-Oeste,Kleber Esteves,Kit Ferramentas Completo,844643.39,215
Centro-Oeste,Denise Ramos,Pneu Aro 16,843340.15,215
Centro-Oeste,Janaína Dantas,Fechadura Digital Biométrica,841683.78,206
Centro-Oeste,Bruna Lima,Mouse Gamer Óptico,841583.11,136
Centro-Oeste,Heloísa Britto,Calça Jeans Motoqueiro,841388.62,115
Centro-Oeste,Fernanda Silveira,Cooktop 5 Bocas,841187.02,257
Centro-Oeste,Heloísa Britto,Umidificador de Ar,839428.3099999999,220
Centro-Oeste,Guilherme Alves,Luvas de Proteção Moto,838755.83,215
Centro-Oeste,Kleber Esteves,GPS Automotivo,838635.59,192
Centro-Oeste,Fernanda Silveira,Kit Ferramentas Completo,838494.74,225
Centro-Oeste,Elias Barbosa,Abajur de Chão Decorativo,837536.99,108
Centro-Oeste,Denise Ramos,Chuveiro Elétrico Digital,836268.39,123
Centro-Oeste,Kleber Esteves,Jaqueta Motoqueiro Couro,835528.15,353
Centro-Oeste,Elias Barbosa,Central Multimídia Android,834222.96,397
Centro-Oeste,Fernanda Silveira,Sensor de Estacionamento,833398.8400000001,166
Centro-Oeste,Caio Mendes,Serra Tico-Tico,831958.13,409
Centro-Oeste,Igor Carvalho,Cafeteira Expresso,831330.82,130
Centro-Oeste,Caio Mendes,Kit Ferramentas Completo,827867.58,213
Centro-Oeste,Janaína Dantas,Microfone Condensador USB,827601.59,1269
Centro-Oeste,Bruna Lima,Echo Dot 4ª Geração,827096.42,312
Centro-Oeste,Denise Ramos,Pipoca Elétrica,822616.34,833
Centro-Oeste,Fernanda Silveira,Mesa de Centro Moderna,822429.8,151
Centro-Oeste,Igor Carvalho,Aspirador de Pó Robô,819101.02,310
Centro-Oeste,Bruna Lima,Panela de Pressão Elétrica,817497.12,591
Centro-Oeste,Guilherme Alves,Umidificador de Ar,813784.96,202
Centro-Oeste,Janaína Dantas,Central Multimídia Android,812683.09,410
Centro-Oeste,Kleber Esteves,Sofá 3 Lugares Reclinável,812384.03,883
Centro-Oeste,Fernanda Silveira,Barraca de Camping 4 Pessoas,811001.15,1684
Centro-Oeste,Elias Barbosa,Máquina de Costura Doméstica,810684.13,184
Centro-Oeste,Kleber Esteves,Chuveiro Elétrico Digital,810530.71,116
Centro-Oeste,Janaína Dantas,Alarme Automotivo,807011.0800000001,143
Centro-Oeste,Denise Ramos,Barraca de Camping 4 Pessoas,806407.61,1529
Centro-Oeste,Denise Ramos,Bússola Profissional,804320.97,709
Centro-Oeste,Fernanda Silveira,Mouse Gamer Óptico,804125.8,151
Centro-Oeste,Caio Mendes,Botas de Moto Impermeáveis,801809.99,456
Centro-Oeste,Denise Ramos,Sensor de Estacionamento,800838.52,172
Centro-Oeste,Guilherme Alves,Roçadeira a Gasolina,800671.6599999999,389
Centro-Oeste,Heloísa Britto,Impressora Multifuncional,798060.65,272
Centro-Oeste,Denise Ramos,Teclado Mecânico RGB,797618.86,1048
Centro-Oeste,Janaína Dantas,Mouse Gamer Óptico,796485.86,122
Centro-Oeste,Denise Ramos,Banco de Jardim de Madeira,796006.52,146
Centro-Oeste,Caio Mendes,Cozinha Compacta,795960.48,358
Centro-Oeste,Fernanda Silveira,Tapete Geométrico,795076.5,144
Centro-Oeste,Guilherme Alves,Pistola de Pintura Elétrica,794927.64,83
Centro-Oeste,Kleber Esteves,Travesseiro de Espuma Viscoelástica,794329.73,1239
Centro-Oeste,Fernanda Silveira,Purificador de Água,792967.86,326
Centro-Oeste,Kleber Esteves,Bomba Submersa,792456.09,213
Centro-Oeste,Kleber Esteves,Tapete Geométrico,792256.43,156
Centro-Oeste,Janaína Dantas,Câmera Digital Profissional,790931.46,158
Centro-Oeste,Fernanda Silveira,Geladeira Frost Free,790507.8099999999,238
Centro-Oeste,Kleber Esteves,Máquina de Costura Doméstica,790287.73,175
Centro-Oeste,Janaína Dantas,Aspirador de Água e Pó,789702.69,149
Centro-Oeste,Igor Carvalho,Capa de Carro Protetora,789149.23,775
Centro-Oeste,Guilherme Alves,Fechadura Digital Biométrica,787335.75,167
Centro-Oeste,Kleber Esteves,Balança Digital Bioimpedância,786950.91,226
Centro-Oeste,Kleber Esteves,Mouse Gamer Óptico,786454.22,153
Centro-Oeste,Janaína Dantas,Geladeira Frost Free,785214.47,234
Centro-Oeste,Guilherme Alves,Headset Gamer Surround,784647.23,166
Centro-Oeste,Guilherme Alves,Trena a Laser,783944.28,151
Centro-Oeste,Caio Mendes,Chaleira Elétrica,782967.4299999999,132
Centro-Oeste,Igor Carvalho,Assadeira de Vidro,782198.02,159
Centro-Oeste,Bruna Lima,Ferro de Passar a Vapor,782023.41,99
Centro-Oeste,Denise Ramos,Central Multimídia Android,781748.0,416
Centro-Oeste,Denise Ramos,Pistola de Pintura Elétrica,781598.48,84
Centro-Oeste,Janaína Dantas,Kit de Jardinagem,781305.06,1543
Centro-Oeste,Guilherme Alves,Polidor de Carro Elétrico,781248.9,231
Centro-Oeste,Denise Ramos,Bateria Portátil Power Bank,779692.08,242
Centro-Oeste,Igor Carvalho,Botas de Moto Impermeáveis,777879.54,475
Centro-Oeste,Elias Barbosa,Fechadura Digital Biométrica,776470.1399999999,176
Centro-Oeste,Elias Barbosa,Furadeira de Impacto,773448.77,370
Centro-Oeste,Bruna Lima,Central Multimídia Android,773102.84,363
Centro-Oeste,Kleber Esteves,Panela de Pressão Elétrica,772113.54,485
Centro-Oeste,Denise Ramos,Forno Microondas Digital,771220.03,201
Centro-Oeste,Fernanda Silveira,Aspirador de Pó Robô,770266.4400000001,344
Centro-Oeste,Fernanda Silveira,Projetor Portátil,765734.68,141
Centro-Oeste,Caio Mendes,Webcam Full HD,765673.32,106
Centro-Oeste,Fernanda Silveira,Assadeira de Vidro,765636.58,167
Centro-Oeste,Denise Ramos,Batedeira Planetária,765249.8099999999,103
Centro-Oeste,Denise Ramos,Botas de Moto Impermeáveis,764250.24,456
Centro-Oeste,Heloísa Britto,Barraca de Camping 4 Pessoas,764233.55,1566
Centro-Oeste,Igor Carvalho,Sanduicheira Elétrica,758348.26,192
Centro-Oeste,Janaína Dantas,Panela de Pressão Elétrica,757450.07,482
Centro-Oeste,Kleber Esteves,Furadeira de Impacto,756354.27,328
Centro-Oeste,Guilherme Alves,Cadeira de Escritório Ergonômica,755654.58,726
Centro-Oeste,Bruna Lima,Cantil Térmico,755350.81,177
Centro-Oeste,Igor Carvalho,Câmera Digital Profissional,755069.61,135
Centro-Oeste,Bruna Lima,Capa de Carro Protetora,752658.88,617
Centro-Oeste,Janaína Dantas,Impressora Multifuncional,751661.79,228
Centro-Oeste,Denise Ramos,Capa de Carro Protetora,751424.24,672
Centro-Oeste,Heloísa Britto,Purificador de Água,751336.94,331
Centro-Oeste,Denise Ramos,GPS Automotivo,748935.85,262
Centro-Oeste,Denise Ramos,Ferro de Passar a Vapor,748458.99,100
Centro-Oeste,Denise Ramos,Aspirador de Pó Robô,747404.37,317
Centro-Oeste,Bruna Lima,Lanterna Tática LED,746505.8300000001,407
Centro-Oeste,Igor Carvalho,Kit Lâmpadas LED Inteligentes,746503.18,157
Centro-Oeste,Caio Mendes,Grill Elétrico Multiúso,744538.65,2274
Centro-Oeste,Igor Carvalho,GPS Automotivo,744505.45,171
Centro-Oeste,Elias Barbosa,Chuveiro Elétrico Digital,743669.79,117
Centro-Oeste,Bruna Lima,Notebook Gamer G300,743307.28,213
Centro-Oeste,Guilherme Alves,Echo Dot 4ª Geração,743195.62,265
Centro-Oeste,Janaína Dantas,Kit Lâmpadas LED Inteligentes,743058.91,153
Centro-Oeste,Janaína Dantas,Guarda-Roupa Casal,742890.73,146
